#x y z Bx By Bz
0.0421053 0 3.35897 0.080818 0 10.7719
0.0421053 0 3.84615 0.0654271 0 9.09357
0.0421053 0 4.33333 0.0541721 0 7.70641
0.0421053 0 4.82051 0.0455415 0 6.56223
0.0421053 0 5.30769 0.0318297 0 5.6641
0.0421053 0 5.79487 0.0300956 0 4.97068
0.0421053 0 6.28205 0.0222225 0 4.34483
0.0421053 0 6.76923 0.0193222 0 3.88531
0.0421053 0 7.25641 0.0149446 0 3.47483
0.0421053 0 7.74359 0.0134036 0 3.16243
0.0421053 0 8.23077 0.0108055 0 2.86906
0.0421053 0 8.71795 0.00897227 0 2.65242
0.0421053 0 9.20513 0.00814449 0 2.44757
0.0421053 0 9.69231 0.00662547 0 2.27946
0.0421053 0 10.1795 0.00577278 0 2.13923
0.0421053 0 10.6667 0.00491171 0 2.0163
0.0421053 0 11.1538 0.00406813 0 1.91029
0.0421053 0 11.641 0.00366595 0 1.8267
0.0421053 0 12.1282 0.00361018 0 1.73653
0.0421053 0 12.6154 0.00161539 0 1.67883
0.0421053 0 13.1026 0.0013513 0 1.64905
0.0421053 0 13.5897 0.00305764 0 1.60318
0.0421053 0 14.0769 0.00383395 0 1.51043
0.0421053 0 14.5641 -0.0037291 0 1.49933
0.0421053 0 15.0513 -0.00924743 0 1.67813
0.0421053 0 15.5385 0.00275731 0 1.76214
0.0421053 0 16.0256 -0.00144875 0 1.64351
0.0421053 0 16.5128 -0.0180469 0 1.6003
0.0421053 0 17 -0.0489091 0 1.53148
0.0842105 0 -2 -0.194835 0 4.26023
0.0842105 0 -1.51282 -0.242199 0 6.70943
0.0842105 0 -1.02564 -0.285836 0 9.89545
0.0842105 0 -0.538462 -0.276917 0 13.0713
0.0842105 0 -0.0512821 -0.268751 0 16.3926
0.0842105 0 0.435897 -0.127824 0 18.6897
0.0842105 0 0.923077 -0.0252788 0 19.5536
0.0842105 0 1.41026 0.0946822 0 19.1904
0.0842105 0 1.89744 0.197621 0 17.3833
0.0842105 0 2.38462 0.185592 0 15.1483
0.0842105 0 2.87179 0.201582 0 12.8979
0.0842105 0 3.35897 0.161538 0 10.7693
0.0842105 0 3.84615 0.130796 0 9.09202
0.0842105 0 4.33333 0.108311 0 7.70483
0.0842105 0 4.82051 0.0911631 0 6.56103
0.0842105 0 5.30769 0.0635284 0 5.66277
0.0842105 0 5.79487 0.0602708 0 4.97068
0.0842105 0 6.28205 0.0443641 0 4.34362
0.0842105 0 6.76923 0.0386653 0 3.88533
0.0842105 0 7.25641 0.0298367 0 3.47407
0.0842105 0 7.74359 0.0268089 0 3.16256
0.0842105 0 8.23077 0.0215781 0 2.86844
0.0842105 0 8.71795 0.0179217 0 2.65251
