#x y z Bx By Bz
-1.75 0.126316 22.5385 -0.00191017 0.000233376 0.0017898
-1.75 0.126316 22.8154 -0.00182088 0.000232932 0.00133103
-1.75 0.126316 23.0923 -0.00164522 0.000220982 0.000720623
-1.75 0.126316 23.3692 -0.00152802 0.000216346 -5.66665e-05
-1.75 0.126316 23.6462 -0.00151764 0.000226684 -0.000951457
-1.75 0.126316 23.9231 -0.00160748 0.000252958 -0.00195661
-1.75 0.126316 24.2 -0.00179736 0.000296982 -0.00310337
-1.75 0.126316 24.4769 -0.0021097 0.000363894 -0.00443796
-1.75 0.126316 24.7538 -0.00258235 0.00046147 -0.00600551
-1.75 0.126316 25.0308 -0.00323856 0.000595499 -0.00784959
-1.75 0.126316 25.3077 -0.00403503 0.00076094 -0.0100643
-1.75 0.126316 25.5846 -0.00484525 0.000938656 -0.0129602
-1.75 0.126316 25.8615 -0.0056366 0.00112786 -0.0173541
-1.75 0.126316 26.1385 -0.00703907 0.00145595 -0.0248056
-1.75 0.126316 26.4154 -0.0112954 0.00237166 -0.0374277
-1.75 0.126316 26.6923 -0.0232757 0.00486443 -0.0571187
-1.75 0.126316 26.9692 -0.0519846 0.0107919 -0.0845992
-1.75 0.126316 27.2462 -0.116493 0.0241093 -0.116121
-1.75 0.126316 27.5231 -0.263633 0.0545195 -0.102126
-1.75 0.126316 27.8 -0.209175 0.0431016 0.109443
-1.75 0.157895 17 -0.0239849 0.0021682 0.00631639
-1.75 0.157895 17.2769 -0.0239765 0.00216764 0.0100415
-1.75 0.157895 17.5538 -0.0216553 0.00195871 0.0132699
-1.75 0.157895 17.8308 -0.0180132 0.001631 0.0149717
-1.75 0.157895 18.1077 -0.014314 0.0012985 0.01516
-1.75 0.157895 18.3846 -0.0112263 0.00102144 0.0144227
-1.75 0.157895 18.6615 -0.00885573 0.000809227 0.0132917
-1.75 0.157895 18.9385 -0.00708055 0.00065085 0.012067
-1.75 0.157895 19.2154 -0.00574922 0.000532644 0.0108804
-1.75 0.157895 19.4923 -0.00473981 0.000443656 0.00977871
-1.75 0.157895 19.7692 -0.0039647 0.000376058 0.00877111
-1.75 0.157895 20.0462 -0.00336264 0.000324431 0.00785175
-1.75 0.157895 20.3231 -0.00289084 0.000285067 0.00700897
-1.75 0.157895 20.6 -0.00251957 0.0002555 0.00622918
-1.75 0.157895 20.8769 -0.00222883 0.000234264 0.00549813
-1.75 0.157895 21.1538 -0.00200698 0.000220849 0.00480149
-1.75 0.157895 21.4308 -0.00185116 0.00021586 0.00412606
-1.75 0.157895 21.7077 -0.00176859 0.00022119 0.00346427
-1.75 0.157895 21.9846 -0.00177215 0.000239144 0.00282708
-1.75 0.157895 22.2615 -0.00184831 0.000267268 0.00225858
-1.75 0.157895 22.5385 -0.00189996 0.000290026 0.00179111
-1.75 0.157895 22.8154 -0.00181194 0.000289656 0.00132983
-1.75 0.157895 23.0923 -0.00164001 0.00027529 0.000719302
-1.75 0.157895 23.3692 -0.00152542 0.000269905 -5.62712e-05
-1.75 0.157895 23.6462 -0.00151599 0.000282975 -0.000948957
-1.75 0.157895 23.9231 -0.00160539 0.000315725 -0.00195191
-1.75 0.157895 24.2 -0.00179295 0.000370309 -0.00309651
-1.75 0.157895 24.4769 -0.00209958 0.000452865 -0.00443045
-1.75 0.157895 24.7538 -0.00256203 0.000572938 -0.00600404
-1.75 0.157895 25.0308 -0.00320827 0.000738879 -0.00787179
-1.75 0.157895 25.3077 -0.004017 0.000949354 -0.0101409
-1.75 0.157895 25.5846 -0.00491187 0.001192 -0.0131177
-1.75 0.157895 25.8615 -0.00592548 0.00148133 -0.0175574
-1.75 0.157895 26.1385 -0.00769786 0.00197965 -0.0248687
-1.75 0.157895 26.4154 -0.0123133 0.00321008 -0.0369709
-1.75 0.157895 26.6923 -0.0242777 0.00631918 -0.0556737
-1.75 0.157895 26.9692 -0.0521378 0.0135114 -0.0817768
-1.75 0.157895 27.2462 -0.114274 0.0295496 -0.111458
-1.75 0.157895 27.5231 -0.253476 0.0655135 -0.0949392
-1.75 0.157895 27.8 -0.203525 0.052424 0.10509
-1.75 0.189474 17 -0.0238612 0.00258846 0.00632968
-1.75 0.189474 17.2769 -0.0238502 0.00258751 0.0100276
-1.75 0.189474 17.5538 -0.0215502 0.0023391 0.0132338
-1.75 0.189474 17.8308 -0.0179397 0.00194926 0.0149285
-1.75 0.189474 18.1077 -0.0142675 0.00155318 0.0151213
-1.75 0.189474 18.3846 -0.0111976 0.00122262 0.0143922
-1.75 0.189474 18.6615 -0.00883757 0.000969112 0.0132688
-1.75 0.189474 18.9385 -0.00706866 0.000779736 0.0120499
-1.75 0.189474 19.2154 -0.00574116 0.0006383 0.0108676
-1.75 0.189474 19.4923 -0.00473419 0.000531774 0.00976903
-1.75 0.189474 19.7692 -0.00396068 0.000450828 0.00876374
-1.75 0.189474 20.0462 -0.0033597 0.000388989 0.00784611
-1.75 0.189474 20.3231 -0.00288865 0.000341826 0.0070047
-1.75 0.189474 20.6 -0.00251787 0.000306391 0.00622602
-1.75 0.189474 20.8769 -0.00222743 0.000280924 0.00549595
-1.75 0.189474 21.1538 -0.00200566 0.000264806 0.00480031
-1.75 0.189474 21.4308 -0.00184957 0.000258729 0.00412602
-1.75 0.189474 21.7077 -0.00176603 0.000264898 0.00346568
-1.75 0.189474 21.9846 -0.00176723 0.000285953 0.0028301
-1.75 0.189474 22.2615 -0.00183936 0.000318914 0.0022622
-1.75 0.189474 22.5385 -0.00188779 0.000345606 0.00179269
-1.75 0.189474 22.8154 -0.00180127 0.000345425 0.00132843
-1.75 0.189474 23.0923 -0.00163377 0.000328996 0.000717759
-1.75 0.189474 23.3692 -0.0015223 0.000323124 -5.57595e-05
-1.75 0.189474 23.6462 -0.00151402 0.000339025 -0.000945921
-1.75 0.189474 23.9231 -0.001603 0.000378212 -0.00194624
-1.75 0.189474 24.2 -0.0017881 0.000443141 -0.0030882
-1.75 0.189474 24.4769 -0.00208872 0.000540831 -0.00442099
-1.75 0.189474 24.7538 -0.0025405 0.00068253 -0.00600012
-1.75 0.189474 25.0308 -0.00317635 0.00087963 -0.00789104
-1.75 0.189474 25.3077 -0.00399706 0.00113653 -0.0102137
-1.75 0.189474 25.5846 -0.00497592 0.00145209 -0.0132686
-1.75 0.189474 25.8615 -0.00620832 0.00186165 -0.0177474
-1.75 0.189474 26.1385 -0.00834084 0.00256255 -0.0249063
